headline,link,time,scrape_time,content
"Triveni Turbine shares rise 27% in a week, here's what brokerages say",https://news.google.com/read/CBMi4gFBVV95cUxNSkNNaldpcloydDM1dkY2X3dJbEJZSW9QalBrQTBDZTE1dHlvOHF4NnhaLXh5VHJKVFNsamlpZzhnUlFTREFXa0lHMEpWQ2pSRlV1SGJzbWRMQUNyalVfczVzX2Jfbk5lcXdHVUppbjNhWkJ6aUhYNllvUzRPb0Flam5WNHROTndfWXVHN2otbEkxV1VxNVgteDlCYjNMdU5vT05NRjhqdkRlQkZFblBxbjdFUWUzWmZZWGU0OHNncjdDOVgxZ2c2LWNfeUdLV0NHdDE3bk5PQVFTLWYxQ01rbTNR?hl=en-US&gl=US&ceid=US%3Aen,8 days ago,2025-03-15 21:29:35.020132,No Content found
"Triveni Turbine shares rise 27% in a week, here's what brokerages say",https://news.google.com/read/CBMizgFBVV95cUxOVk9uZW1RZGtpaXRPTG42Q1NFQ0xHTFV3NDZTMm85NVlTSmcxdDR6MmJ2SG1KQ2RHRHpBb1FGM2drQld6QnZEQUNmZjk1bjhpRF80V1IyU1F0aXdlV0l2SkNkZFJOVkZyODhKRjgyVkFCUTRYNUpELW9HT1U4NWdVbVl2M1hRZjl5eUtPeXhQWFFvNHhwSERZOVlxZVdYX3d1RHVSeHNBcEFMN1dINVhYdnc5X0lVdGdGSnJXUlR2Um5FdmY0M25MckFObm5jQQ?hl=en-US&gl=US&ceid=US%3Aen,8 days ago,2025-03-15 21:29:35.020178,No Content found
Triveni Turbine Faces Consecutive Declines Amid Broader Engineering Sector Challenges,https://news.google.com/read/CBMivwFBVV95cUxPekgwaWpzbE9tWVdiaW94Q0FScGdic05ZOGItRm5CenAwWjRycS1UU01kUDZWc0NudDBtNWxjX1VodzY1aUxhZ1p4MkxpeVhSRjJCQmJzaFUxakl5ZThHN2d0Y0t1ci11ZUlmX3JvWEk4QWs0UGMyTVhIdkthYk5qZHlZVE84b05qRG1BdzYwbXRrVEc5ZjlLbEhwMWtjRXJsQy1SNG9OU2c2ZnRTa3M5OTNGX1ZzbEtWcnV1Z0lXVQ?hl=en-US&gl=US&ceid=US%3Aen,4 days ago,2025-03-15 21:29:35.020216,No Content found
"Triveni Turbine stock soars over 11% on stellar performance in Q2, up nearly 900% in 4 years",https://news.google.com/read/CBMi8AFBVV95cUxNZkhMRHJBTzJ1VHNOd0lJcndDcjNEWG4zUE5yamE1dWU4akNpaGlUSzdlcGRqdVI2bTNuRkFvTUxwLVZhOExYV0tDck5MdTdkalFVYTYzN0pHMTcza2QzMllGSHZ2bmtJdnpYWGx2Y0NEUlh4QjdIUHQ5TUxXQkJxbVRjWWZhb1BRRHRuNXFTOHdpeWNSamhadkVCcVFPNGMySkk5MEsycS02OHl4UzZGejVqRlpSWDg5ellSNlRNREtObjVEVHBISHZtTTdGSVBPVjc3OXdlaUpid0pHankxYUhSTlhQUWgyekxENk1QU2bSAfYBQVVfeXFMUHVQVWVkN3ZDMGcxX2Z6NVpPbWE5ZWRLU0J2WGlxdGd6aWR3SS1FdHh4aGxNdU1NenRTdi1oSUdXci1WVU5uMFdDS08tZmF1eWdHSXNLNDNEalhDS1hodEdGSFJQVk4wT2Izc3ZMUV9SRlRUVEJyeVM2VzFWWGk5aHBaRjV0SHF6MVYzcUxBUGhrVFlBaVFrUUprYlkyQkl0Vk0tXzV0bDdZd2RmclVveUpyWGs1WEdjM2RXd1dBd29reE5Ed1JnakpEYW1jX19uZ2FjVU5oMlB0U1VMLUxiRHoxT29PZ2tuT3d2Ni1yV19DaE54eUh3?hl=en-US&gl=US&ceid=US%3Aen,Nov 12,2025-03-15 21:29:35.020254,No Content found
Triveni Turbine Gets Buy From UBS Global Research On Expansion Of Global Presence,https://news.google.com/read/CBMitwFBVV95cUxOQklYMUhhbjA4VjFyZ0JONTU5dFEwZEc4RGowc0YwVXZyamwtU0U5UmNVVjN4Q1NCX19GdFBZZUtZV3h4c2VxZHlhUTlPS3hOano5U0RCT19ueEpKSnRMamRkTkI1d29rUDVuS2RIRFpzOVJCRTJGN2FiMDN1c3hpaUNHTHpQd1pSN1BBam9lWUYtejF3bWRseXRyQnI2cTRycmVWRlQtQVlBdThPOGpJcmZMcGxVZHPSAbwBQVVfeXFMTTRTZ2JJQUFQaDV4WHJjWXg0YWpsbUphSW1zUmRFYzcxTjBPdkxJWFdkTGY3dkh4VWl6N01pVXFOZEk2Z1JQa3JucWRPd0FpbDZab2pZU0xzYW5DVUQ1clByQ2dsNFR2cjdvMC1pQ3NiSlVMZ2F4VjM5NHRxc0hDN1NYZWtyYWxacS1ENWpaT1pFS3VXeVJhb1Y3WnZadGZVVVR6ckhqRGczb2JBcXItbnQtSVhQQnNpX1FWa2I?hl=en-US&gl=US&ceid=US%3Aen,Jan 30,2025-03-15 21:29:35.020291,No Content found
Here's Why We Think Triveni Turbine (NSE:TRITURBINE) Is Well Worth Watching,https://news.google.com/read/CBMi4wFBVV95cUxQUTdQOWlxd1JCRnBmVXJkN3NBc3Q5SUJVTmNKOENTR01lNWt0VERDU2g3Z1BVa3lJbkFqZzJBdjNLRENjZzZCMU5oZ3JFZkpTVjdYbldKcFh5MlN4X2hNQXNLOWZmdEZDaHZEQUtpc1FMTlhzS1h4R0xIeVF3eGcxek9CczNNRDdfMHhOM2RWemY5aEtwd3JLbU1mdXNlU242cXlDWG13V29NOVcxTHpKX2lXenc5RXBZajBQWjZzVkRRdklNeVNQV1d2UlpveFc3M2w4LUJrTUlKYUU3RlM5VnZNY9IB6AFBVV95cUxOVWtCRWJoZTM0NXpfVC1sUzl2RjJvVkZNUUY3ZEdDcVNqeHZLY2h2V082S2lOcGNZZVlOdVczSkVrbm5YeTVEY2dCYkhyam1kYlFOdHpQYkw5eGZkajRieEtfeVFsQXNkeTFuRE9wQlBhcm04QzlhR1dSekd5alhCRDd3dXNwWVJrVDlMeWluNEZQd0xyVDRodHZOVFJjSlFKU0JRM05vWnhPT0JpdmNUY3Fxc2lPNmNpYS1DUGhRd2ZWTmZmZzBVSHA5eWFiVHFGSHhSRWZFYUtxNllabTZKTmhqT3B5WWJD?hl=en-US&gl=US&ceid=US%3Aen,Oct 26,2025-03-15 21:29:35.020329,No Content found
"Triveni Turbine hits new high, up 16% amid heavy volumes on healthy outlook",https://news.google.com/read/CBMi1wFBVV95cUxPeUxEN09CSk9EdW1ER0hrb05ETThJMVEwTXR5SEY2MGxZR2hDU3c1NUFXbXNJSnMwYV9oTmRULXdwVTE1RFJkYlg4Y2VsQVBVVFJSUUZ1V2N1b0V3dWxzLTRWR2dMcEVkLUpXTEEyd1AwSzFvNUNDNy0tZW5OdFlHSHh0MHJuc1pzUk03NlBtdVZkaENueTUxNk5YN21VU254VHV2V1RobEVIRVZMblk5Y1lVUW9KT0JnQ0JRa01MRWh3YzlmWmRCZWpfQUl1VWtBZDBGUnlWNNIB3AFBVV95cUxOWjVkb2ZXN2xoVXdUMFJJdTJjNGVPMmxuc2JkbTc0ck9laUs4eXNpcldnYTBYNm1hRTYxMEN4UE1wNXhici1hOUdpelVaVkRyLVNKRmg0ZUhzYVRUSER3VDJRVVlYdFZhb0JDRjAwek9obTNZNGN3R2ozWlFWMS1BaUNRcnQ5WFRGekVWS3B5blV2UGhfZ241bXpXWHZWbWhfMEJOdmhmVm5YZFpGSG1WT0ZlOVlRendwcHBRQ3F3RUNRSnREbDRtYkNhemZMRUpLSjJQay15Q1NTNDdZ?hl=en-US&gl=US&ceid=US%3Aen,Nov 26,2025-03-15 21:29:35.020366,No Content found
"Breakout Stocks: How to trade Fortis Healthcare, HCL Technologies and Triveni Turbines on Wednesday",https://news.google.com/read/CBMimAJBVV95cUxPQ3YyNjRrOW4wY1VTLVhIZm9MNDd4QURpVTJtajU5OWNwVVBZYkR0cUs4dFlRZERkYUFMd0hmMjhfSkpXci16eDRxMDYwZnFxSzVTR0lGVW9TYTJsVGVlRXQzQ0Y0Yld0Rk5DSmFqd2NfdEFIb21BZEdxM1R6Mk5YXzlvZEp5UzU5VXhrZ2NRREdVMklUNGlUVFgyX0U3ckUwbFlmNzNad0FPUXROWWpfelJxVlVHdFNCYjNjNUZuUkwza3Y3Q0U2MF9sWU1Yam9aUTBiWEx1a1ZyUEtyenZmM3JyaFRoOEtBNnc1SnNKZFhOa1RyT1lTeEVQX1dUb1pEWGRuODdRbVNpVjFNdjJYTTNGZXllVm5G?hl=en-US&gl=US&ceid=US%3Aen,Nov 12,2025-03-15 21:29:35.020404,No Content found
Triveni Turbine flies 12% after solid Q2 earnings show,https://news.google.com/read/CBMiwAFBVV95cUxQVTZxS3pHTWRwTnRHZ1MyMksxTEtKSm1YRzdDT2NjRDViSXA4amlnM2ZFZnFJaDVUcENPY3hWQnhEQzhkdnVOVzRCdHJDdWNGREVkZmlUTEhCeGZ4STIyYXliOF9wMTBWT3BGZEtXR05DS1g1RGdiQTBLZElZX21JandVZ0x6LVZVa2VoRTY4VUs1TW5ac3p6TTBndTFvYlA3VmEwSXNidWF1NGFCT3BKd2lvd1F4LS04cGxPQ3NtVHHSAcYBQVVfeXFMUGtlU0ZBV0NEaFp0eWg0UVBmaFktQk40UzJIVnkwV0pKaGNrWFRJMEY4TEdMRjdUSGZJTVBFb1puUGFXVVFXeFJ4ZGpQV2RTZUNrUjZkODkyRG1lNEJZb1NlX3V4aG94dVlYUDhnaGVtY0pOUzJqX3hPWVJnWGx1cEY4OTdyc0V5TTlndnE0YjcyUDF1OUVLRGdTYURjWWFsbE40eXhkY3JQSFJfVkRndVhpU1pLVUF3VmdsdC1PLVl0VmlOR29R?hl=en-US&gl=US&ceid=US%3Aen,Nov 12,2025-03-15 21:29:35.020442,No Content found
"Triveni reported all time high Revenue, EBITDA, and Order book in Q3 -February 19, 2025 at 02:53 am EST",https://news.google.com/read/CBMi7gFBVV95cUxPUGVjNkRlVXlVTG1zaEFZT3JvaFJ4ZTdwVlhBSjZwbTduUnJHbklteGIyZWhLQjdTNWJsU1N4d2NMMl9aNm5kR3BEaE1fdno1MnFfOVhtT3VXQkZzVGFsaEZEd0xzaURtR01wd3IwWnRPM1RnMWxIVjBabHlmampBUXVMVUdKSEs5NWQ0YTEyR1hsQlhGX3pSZkZ0WFJlNU13NS1adWZWS01LVG9KTDB1SThuMFQydzV4UE5ZVmxvY19VUlZLUVNnUUFjcmZZQnJvZF9PYVQxZDhYZEZPWF9QZGxIVS1ndmpwdUFraFVR?hl=en-US&gl=US&ceid=US%3Aen,Feb 19,2025-03-15 21:29:35.020486,No Content found
